id,profileName,make,model,year,cmbElevatorSize,cmbMoistureSensor,cmbGPSMake,cmbGPSModel,equipment_type
1782,Case IH 1460,Case IH,1460,2000,,Other,None,None,Combine
3153,Case IH 1660,Case IH,1660,1992,,None,Trimble,EZGuide500,Combine
3103,1666,Case IH,1666,2000,,AgLeader,AgLeader,1500,Combine
2722,Case IH 1680,Case IH,1680,1986,,Case IH,None,None,Combine
3796,Case IH 1688,Case IH,1688,1994,,AgLeader,John Deere,StarFire 3000,Combine
3119,Herb Hansen,Case IH,2166,2001,,None,None,None,Combine
3696,Randy's Combine,Case IH,2188,2000,Chain with Paddles for 9 Tooth,AgLeader,Hemisphere,A100,Combine
3321,Case IH 2344,Case IH,2344,2001,,Case IH,AgLeader,5100,Combine
2938,Case IH 2366,Case IH,2366,2012,,Case IH,Trimble,EZGuide500,Combine
3620,Miller,Case IH,2377,2008,Chain with Paddles for 9 Tooth,AgLeader,AgLeader,1500,Combine
2839,Case IH 2388,Case IH,2388,2014,,Agco,Hemisphere,A221,Combine
3294,2577 Case IH,Case IH,2577,2010,,Case IH,CaseIH,FM1000,Combine
3300,Henderson,Case IH,2588,2013,,Case IH,CaseIH,FM1000,Combine
3080,tim,Case IH,5088,2013,,Case IH,AgLeader,1500,Combine
1499,Case IH 5130,Case IH,5130,2014,Chain with Paddles for 9 Tooth,Case IH,CaseIH,FM1000,Combine
3704,Case IH 5140,Case IH,5140,2017,Chain with Paddles for 9 Tooth,Case IH,Trimble,AG372,Combine
3520,lanners,Case IH,6088,2014,Chain with Paddles for 9 Tooth,Case IH,CaseIH,FM1000,Combine
3552,Case IH 6130,Case IH,6130,2014,Chain with Paddles for 9 Tooth,Case IH,CaseIH,FM1000,Combine
3510,Case IH 6140,Case IH,6140,2016,Chain with Paddles for 9 Tooth,Case IH,CaseIH,FM1000,Combine
3456,Case IH 5088,Case IH,7010,2012,Chain with Paddles for 9 Tooth,Case IH,CaseIH,FM1000,Combine
3145,Case IH 7088,Case IH,7088,2015,,Case IH,CaseIH,FM1000,Combine
3784,Case IH 1660,Case IH,7120,2015,Chain with Paddles for 9 Tooth,Case IH,Trimble,FMX,Combine
3591,Case IH 7130,Case IH,7130,2016,Chain with Paddles for 9 Tooth,Case IH,CaseIH,FM1000,Combine
3785,Case IH 7140,Case IH,7140,2016,Chain with Paddles for 9 Tooth,Case IH,Trimble,AG372,Combine
