id,profileName,profileData,make,model,equipment_type
18478,Case IH - 1220,"{""quote_id"":""88690"",""last_tab"":""0"",""customer_id"":""130551"",""profileName"":""Case IH - 1220"",""orig_profileName"":""Case IH - 1220"",""saveAs"":"""",""cmbMake"":""Case IH"",""cmbModel"":""1220"",""cmbModelYear"":""2013"",""cmbFrame"":""Rigid Trailing"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""Dickey John/Early Riser"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""O"",""cmbRowConfiguration"":""6"",""cmbRowSpacing"":""30\"""",""txtRows"":""6"",""txtRegArmRow"":""6"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""130"",""cmbGPSMake"":""Trimble"",""cmbGPSModel"":""EZGuide500"",""cmbGPSAccuracy"":""Waas"",""cmbRadar"":""None""}",Case IH,1220,Planter
18477,Kinze - 3660,"{""quote_id"":""88653"",""last_tab"":""6"",""customer_id"":""34173"",""profileName"":""Kinze - 3660"",""orig_profileName"":""Kinze - 3660"",""saveAs"":"""",""cmbMake"":""Kinze"",""cmbModel"":""3660"",""cmbModelYear"":""2014"",""cmbFrame"":""Twinline 40ft Bar"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""Kinze Vision"",""cmbMeterType"":""Vac-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""M"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""AgLeader SureStop"",""ClutchSections"":""16"",""VRBrand"":""Kinze"",""VRMotors"":""1"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8320RT"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None""}",Kinze,3660,Planter
18476,Case IH - 1235,"{""quote_id"":""88649"",""last_tab"":""0"",""customer_id"":""28640"",""profileName"":""Case IH - 1235"",""orig_profileName"":""Case IH - 1235"",""saveAs"":"""",""cmbMake"":""Case IH"",""cmbModel"":""1250"",""cmbModelYear"":""2015"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""O"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""305"",""cmbGPSMake"":""CaseIH"",""cmbGPSModel"":""FM1000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None""}",Case IH,1250,Planter
18475,John Deere - JD1770NT,"{""quote_id"":""88637"",""last_tab"":""0"",""customer_id"":""190952"",""profileName"":""John Deere - JD1770NT"",""orig_profileName"":""John Deere - JD1770NT"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1770NT"",""cmbModelYear"":""2013"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Finger-JD"",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""I"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",John Deere,JD1770NT,Planter
18473,John Deere - JD1775NT,"{""quote_id"":""88630"",""last_tab"":""5"",""customer_id"":""34173"",""profileName"":""John Deere - JD1775NT"",""orig_profileName"":""John Deere - JD1775NT"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1775NT"",""cmbModelYear"":""2010"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Vac-vSet"",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""Mini"",""DownforceSystem"":""H"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""John Deere"",""ClutchSections"":""24"",""VRBrand"":""John Deere"",""VRMotors"":""2"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""9460R"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None"",""chkSeedSense"":""1""}",John Deere,JD1775NT,Planter
18472,John Deere - JD1795,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""John Deere - JD1795"",""cmbMake"":""John Deere"",""cmbModel"":""JD1795"",""cmbModelYear"":""2017"",""cmbFrame"":""30ft Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Vac-JD Flat"",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""Mini"",""DownforceSystem"":""I"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""15\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Yetter"",""cmbRCModel"":""2967-029(JD7200, 1700)"",""cmbFloater"":""1.75\"" (4 Bolt)"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""John Deere"",""ClutchSections"":""12"",""VRBrand"":""John Deere"",""VRMotors"":""3"",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""230"",""cmbGPSMake"":""Trimble"",""cmbGPSModel"":""AG372"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""Case MX & STX""}",John Deere,JD1795,Planter
18471,Kinze - 3600,"{""quote_id"":""88626"",""last_tab"":""1"",""customer_id"":""25855"",""profileName"":""Kinze - 3600"",""orig_profileName"":""Kinze - 3600"",""saveAs"":"""",""cmbMake"":""Kinze"",""cmbModel"":""3800"",""cmbModelYear"":""2018"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""KPM III"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""M"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":""Kinze"",""txtDisconnectSections"":"""",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""215"",""cmbGPSMake"":""Trimble"",""cmbGPSModel"":""AG372"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None""}",Kinze,3800,Planter
18469,Great Plains - YP1625,"{""quote_id"":"""",""last_tab"":""2"",""profileName"":""Great Plains - YP1625"",""cmbMake"":""Great Plains"",""cmbModel"":""YP1625"",""cmbModelYear"":""2006"",""cmbFrame"":""Dual Frame"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""IntelliAg"",""cmbMeterType"":""Pos+ Air Pro"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""P"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""Twin"",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""TruCount Pneumatic"",""ClutchSections"":""16"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""4760"",""cmbGPSMake"":""Outback"",""cmbGPSModel"":""S2"",""cmbGPSAccuracy"":""None"",""cmbRadar"":""""}",Great Plains,YP1625,Planter
18468,Kinze - 4900,"{""quote_id"":""88608"",""last_tab"":""0"",""customer_id"":""189659"",""profileName"":""Kinze - 4900"",""orig_profileName"":""Kinze - 4900"",""saveAs"":"""",""cmbMake"":""Kinze"",""cmbModel"":""4900"",""cmbModelYear"":""2014"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""AgLeader"",""cmbMeterType"":""Vac-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""M"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Martin"",""cmbRCModel"":""WA1360BDC"",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",Kinze,4900,Planter
18465,Jim leadle - JD7300,"{""quote_id"":""88594"",""last_tab"":""6"",""customer_id"":""13628"",""profileName"":""Jim leadle - JD7300"",""orig_profileName"":""Jim leadle - JD7300"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD7300"",""cmbModelYear"":""1988"",""cmbFrame"":""3pt vertical fold or rigid frame"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Finger-Precision Planting"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""D"",""cmbRowConfiguration"":""8"",""cmbRowSpacing"":""30\"""",""txtRows"":""8"",""txtRegArmRow"":""8"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":"""",""cmbGPSMake"":""AgLeader"",""cmbGPSModel"":""AgGPS1000"",""cmbGPSAccuracy"":""Waas"",""cmbRadar"":""John Deere 00, 10 or 20 Series""}",John Deere,JD7300,Planter
