quote_id,equipment_type,"GROUP_CONCAT(CONCAT(' ',e.equipment_name, ': ', t.value))",Make,Model
1340380,Sprayer,"Sprayer Make: Haggie , Sprayer Model: Sts 12 , Year: 2019",Haggie ,Sts 12 
1340346,Sprayer,"Sprayer Make: John Deere , Sprayer Model: 4023",John Deere ,4023
1339974,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 58, Row Spacing: 7.5"", Air Seeder Model: 1990, Number of Ranks: 6, Frame Type: 3 Section, Variable Rate Motor Brand: John Deere",John Deere,1990
1339817,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 15"", Air Seeder Model: 1690",John Deere,1690
1338881,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 10"", Air Seeder Model: 1890, Number of Towers: 8, Tractor Make: Other:Veristile",John Deere,1890
1338321,Air Seeder,"Air Seeder Make: CNH, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 50T",CNH,50T
1338192,Sprayer,"Sprayer Make: Apache , Sprayer Model: AS850, Year: 2022",Apache ,AS850
1337708,Sprayer,"Sprayer Make: Apache, Sprayer Model: AS1240",Apache,AS1240
1336900,Air Seeder,"Air Seeder Make: John Deere, Row Spacing: 7.5"", Air Seeder Model: 1990 CCS",John Deere,1990 CCS
1336722,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS 12, Year: 2012",Hagie,STS 12
1336701,Sprayer,"Sprayer Make: John Deere , Sprayer Model: 4038R",John Deere ,4038R
1336691,Sprayer,"Sprayer Make: John Deere , Sprayer Model: R4045, Year: 2019",John Deere ,R4045
1336486,Sprayer,"Sprayer Make: Case, Sprayer Model: SPX 3185",Case,SPX 3185
1336052,Sprayer,"Sprayer Make: caseih, Sprayer Model: 4430",caseih,4430
1335858,Air Seeder,"Air Seeder Make: Other:Soil Warrior, Number of Rows: 24, Row Spacing: 30"", Air Seeder Model: 5060, Number of Tanks: 3, # of VR Motors: 3",Other,5060
1335847,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: 1890",John Deere,1890
1335776,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 10"", Air Seeder Model: 1890, Number of Towers: 6, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6, Frame Type: 3 Section",John Deere,1890
1335729,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Row Spacing: 10"", Air Seeder Model: 1890, Year: 2019",John Deere,1890
1335674,Air Seeder,"Air Seeder Make: John Deere, Row Spacing: 10"", Air Seeder Model: 1990",John Deere,1990
1335636,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Air Seeder Model: 1890, Year: 2019",John Deere,1890
1335407,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 60, Air Seeder Model: 1895 pro series",John Deere,1895 pro series
1335129,Sprayer,Sprayer Model: 3330,,3330
1335021,Sprayer,"Sprayer Make: CaseIH, Sprayer Model: 4420",CaseIH,4420
1334693,Sprayer,"Sprayer Make: JD, Sprayer Model: 4630",JD,4630
1334622,Sprayer,"Sprayer Make: Case, Sprayer Model: 4420",Case,4420
1334449,Sprayer,"Sprayer Make: RTG, Sprayer Model: 1300, Year: 2013",RTG,1300
1334446,Sprayer,"Sprayer Make: rogator, Sprayer Model: 1300, Year: 2013",rogator,1300
1334431,Sprayer,"Sprayer Make: RoGator, Sprayer Model: 1300, Year: 2013",RoGator,1300
1334407,Sprayer,"Sprayer Make: Fast, Sprayer Model: 132' 6 sections, Year: 2023",Fast,132
1334338,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4030",John Deere,R4030
1334093,Sprayer,"Sprayer Make: Haggie, Sprayer Model: Sts16, Year: 2017",Haggie,Sts16
1333477,Sprayer,"Sprayer Make: rogator, Sprayer Model: rg11",rogator,rg11
1332803,Sprayer,"Sprayer Make: Case, Sprayer Model: PAtriot, Year: 2017",Case,PAtriot
1332665,Sprayer,"Sprayer Make: Hagie, Sprayer Model: Sts 12, Year: 2020",Hagie,Sts 12
1332426,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4830, Year: 2013",John Deere,4830
1332035,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS12",Hagie,STS12
1331720,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Rock Shafts: 2, Frction"ame Type: 3 Se,John Deere,1890
1331343,Sprayer,"Sprayer Make: CASE, Sprayer Model: Patriot 3330, Year: 2016",CASE,Patriot 3330
1331339,Sprayer,"Sprayer Make: New Holland, Sprayer Model: Guardian, Year: 2018",New Holland,Guardian
1331250,Sprayer,"Sprayer Make: john Deere, Sprayer Model: 4045",john Deere,4045
1331206,Sprayer,"Sprayer Make: NH , Sprayer Model: Guardian 36m, Year: 2018",NH ,Guardian 36m
1330761,Sprayer,"Sprayer Make: JOHN DEERE, Sprayer Model: 4630",JOHN DEERE,4630
1330608,Sprayer,"Sprayer Make: JD, Sprayer Model: 4038",JD,4038
1330371,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 24, Row Spacing: 7.5"", Air Seeder Model: 1560",John Deere,1560
1330328,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4630",John Deere,4630
1329971,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 4430",Case IH,4430
1329911,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4730",John Deere,4730
1329603,Sprayer,"Sprayer Make: HN, Sprayer Model: SP Guardian, Year: 2015",HN,SP Guardian
1329203,Sprayer,"Sprayer Make: JD, Sprayer Model: 4044R",JD,4044R
1329060,Sprayer,"Sprayer Make: Miller , Sprayer Model: Nitro 4275, Year: 2012",Miller ,Nitro 4275
1329053,Sprayer,"Sprayer Make: Deere, Sprayer Model: 4730",Deere,4730
1328429,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4930",John Deere,4930
1328414,Sprayer,"Sprayer Make: Miller, Sprayer Model: 5333",Miller,5333
1328084,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890, Year: 2021, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6, Frame Type: 3 Section, Variable Rate Motor Brand: John Deere",John Deere,1890
1328040,Sprayer,"Sprayer Make: Case, Sprayer Model: Patriot 4430",Case,Patriot 4430
1327983,Sprayer," Sprayer Make: Hagie, Sprayer Model: sts",Hagie,sts
1327799,Sprayer,"Sprayer Make: Rogator, Sprayer Model: 1100B, Year: 2015",Rogator,1100B
1327285,Sprayer,"Sprayer Make: case, Sprayer Model: 4420",case,4420
1327207,Sprayer,"Sprayer Make: JD, Sprayer Model: 4830",JD,4830
1327124,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4044",John Deere,4044
1327123,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4930, Year: 20009",John Deere,4930
1327073,Sprayer,"Sprayer Make: JD, Sprayer Model: 4730",JD,4730
1326919,Sprayer,"Sprayer Make: JD, Sprayer Model: 4730, Year: 2017",JD,4730
1326403,Sprayer,"Sprayer Make: John Deer, Sprayer Model: 4440, Year: 2020",John Deer,4440
1326323,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS12, Year: 2017",Hagie,STS12
1326322,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 7.5"", Air Seeder Model: 1990",John Deere,1990
1326229,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS, Year: 2016",Hagie,STS
1326191,Sprayer,"Sprayer Make: JD, Sprayer Model: 4940, Year: 2013",JD,4940
1326105,Sprayer,"Sprayer Make: New Holland, Sprayer Model: SP400F",New Holland,SP400F
1326067,Sprayer,"Sprayer Make: JD , Sprayer Model: 4038, Year: 2019",JD ,4038
1326049,Sprayer,"Sprayer Make: John Deere , Sprayer Model: 4830",John Deere ,4830
1326029,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4830",John Deere,4830
1325925,Air Seeder,"Air Seeder Make: CNH, Number of Rows: 64, Air Seeder Model: STX, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 2, Frame Type: 3 Section, Variable Rate Motor Brand: CNH, # of VR Motors: 2, Tractor Make: CNH",CNH,STX
1325860,Sprayer,"Sprayer Make: New Holland, Sprayer Model: 310, Year: 2019",New Holland,310
1325793,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4038, Year: 2014",John Deere,R4038
1325660,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4830, Year: 2015",John Deere,4830
